%hm0 hm0a hm0b hmax mdir mdira mdirb tp
1.21 0.59 1.05 1.84 215.16 208.12 216.56 9.47
1.09 0.51 0.94 1.45 219.38 208.83 223.59 9.28
1.05 0.51 0.94 1.64 201.80 204.61 201.09 9.47
1.13 0.66 0.94 1.45 200.39 203.91 198.28 10.45
1.13 0.55 0.98 1.45 196.88 202.50 194.06 9.67
1.13 0.70 0.86 1.52 198.28 200.39 197.58 10.35
1.09 0.66 0.90 1.48 194.06 201.80 190.55 10.25
1.17 0.70 0.94 1.60 189.84 205.31 180.00 11.82
1.13 0.59 0.98 1.84 195.47 203.91 192.66 8.89
1.17 0.59 1.02 1.99 187.73 203.20 182.11 9.18
1.17 0.62 1.02 1.72 182.11 203.91 173.67 7.71
1.05 0.51 0.94 1.52 182.81 198.28 177.89 9.18
0.94 0.47 0.82 1.56 183.52 195.47 177.89 9.86
1.09 0.66 0.86 1.48 186.33 203.91 175.08 13.09
0.94 0.51 0.82 1.52 179.30 201.80 170.16 11.62
1.05 0.70 0.82 1.68 189.14 206.02 178.59 13.09
1.09 0.74 0.82 1.52 186.33 205.31 171.56 12.60
0.98 0.55 0.82 1.52 177.19 201.80 168.05 8.98
1.05 0.74 0.78 1.60 189.84 206.02 175.08 11.23
0.98 0.51 0.82 1.48 180.70 197.58 174.38 8.98
0.98 0.62 0.74 1.37 189.14 207.42 178.59 8.98
1.05 0.70 0.82 1.45 188.44 201.09 182.81 12.01
1.02 0.62 0.82 1.72 185.62 200.39 177.19 10.74
0.90 0.59 0.66 1.17 190.55 199.69 181.41 11.23
1.02 0.70 0.78 1.41 191.25 198.28 189.14 10.06
1.05 0.66 0.82 1.48 194.06 201.09 189.14 10.45
1.02 0.55 0.86 1.91 192.66 199.69 188.44 9.77
1.05 0.62 0.82 1.64 193.36 208.83 189.14 8.79
1.02 0.70 0.78 1.37 189.84 200.39 181.41 12.99
1.02 0.51 0.90 1.48 185.62 194.77 183.52 9.47
0.94 0.51 0.78 1.48 192.66 200.39 189.14 9.67
0.90 0.55 0.70 1.17 186.33 198.98 180.00 10.16
1.02 0.51 0.86 1.48 181.41 195.47 176.48 8.69
0.90 0.43 0.82 1.41 180.70 184.92 177.89 10.25
0.86 0.39 0.78 1.13 176.48 193.36 172.27 8.30
0.90 0.43 0.78 1.09 184.92 198.28 178.59 9.57
0.94 0.55 0.78 1.33 180.70 195.47 170.86 11.43
0.86 0.43 0.74 1.45 184.92 199.69 180.00 8.79
0.94 0.55 0.78 1.45 177.89 193.36 169.45 11.23
0.90 0.51 0.74 1.17 180.70 201.80 173.67 11.52
0.90 0.51 0.74 1.29 177.19 194.06 171.56 10.94
0.86 0.43 0.74 1.09 176.48 205.31 168.05 10.74
0.94 0.43 0.82 1.37 171.56 208.83 164.53 8.40
0.86 0.47 0.74 1.17 177.89 215.16 166.64 11.62
0.94 0.55 0.78 1.41 179.30 199.69 172.97 10.35
0.98 0.59 0.78 1.37 179.30 204.61 167.34 10.74
1.13 0.66 0.90 1.52 175.08 208.83 156.80 12.30
1.09 0.70 0.82 1.64 177.89 210.23 159.61 13.48
1.02 0.55 0.86 1.45 171.56 217.97 161.02 11.62
1.13 0.70 0.90 1.45 173.67 206.02 156.09 11.52
1.17 0.59 1.02 1.52 165.94 213.05 155.39 10.16
1.25 0.62 1.05 1.64 165.94 212.34 152.58 13.28
1.21 0.62 1.05 1.72 165.94 214.45 151.88 12.21
1.25 0.62 1.09 1.80 164.53 210.23 149.06 12.60
1.33 0.66 1.17 1.88 164.53 213.05 149.06 12.30
1.33 0.70 1.13 1.80 168.05 207.42 154.69 12.50
1.33 0.74 1.13 2.03 169.45 206.72 151.17 14.26
1.37 0.82 1.09 1.88 172.27 210.23 146.25 13.87
1.48 0.94 1.17 1.80 178.59 213.05 154.69 14.26
1.37 0.78 1.13 1.76 163.12 208.83 148.36 13.67
1.48 1.02 1.05 1.84 175.78 211.64 144.14 13.09
